n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j11__v0_j10,3.0,0.01,
0,1,co_v0_j12__v0_j11,3.0,0.01,
0,2,co_v0_j13__v0_j12,3.0,0.01,
0,3,co_v0_j15__v0_j14,3.0,0.01,
0,4,co_v0_j16__v0_j15,3.0,0.01,
0,5,co_v0_j17__v0_j16,3.0,0.01,
0,6,co_v0_j18__v0_j17,3.0,0.01,
0,7,co_v0_j19__v0_j18,3.0,0.01,
0,8,h2_v0_j2__v0_j0,3.0,0.01,
0,9,h2_v0_j3__v0_j1,3.0,0.01,
0,10,h2_v0_j4__v0_j2,3.0,0.01,
0,11,h2_v0_j5__v0_j3,3.0,0.01,
0,12,h2_v0_j6__v0_j4,3.0,0.01,
0,13,h2_v0_j7__v0_j5,3.0,0.01,
0,14,chp_j1__j0,3.0,0.01,
0,15,chp_j2__j1,3.0,0.01,
0,16,chp_j3__j2,3.0,0.01,
